Start Date:,30-04-2025_10.25.11
Bench number:,86
Computer name:,FRF23050189
Test equipment:,CM.33
Script name:,Endurance_Test
Script version:,0.0d
Script path:,*DAG_Displays:\Test_Group\SYS.5_System_Test\Env_Tests\BR_223\Climatic_Tests\Endurance_Test
Test operator name:,Daniel Lobato
Test Request: ,TR.EL24.06823
Test name: ,3_PTL - k-16
Part number: ,-1
VLIMS number: ,SS 1#23
Serial Number: ,
SW Version: ,-1
HW Version: ,-1
Criteria: ,
Current Value Wake Mode High Value Range - 13.5V: ,2.06[A]
Current Value Wake Mode Low Value Range - 13.5: ,0.98[A]
Current Value Wake Mode High Value Range - 17V: ,1.632[A]
Current Value Wake Mode Low Value Range - 17V: ,0.78[A]
Current Value Wake Mode High Value Range - 8V: ,3.58[A]
Current Value Wake Mode Low Value Range - 8V: ,1.69[A]
Current Value Sleep Mode: ,100[mA]

No:, Date & Time, DUT Mode, Probe of Humidity(%),Probe of Temperature(°C), Dry contact value, Reference Voltage(V),Current[A],Current[A] Status, CAN_status,CID_Display_Temp_Status, CDD_Display_Temp_Status,CID ON/OFF, CDD ON/OFF, CID_BackLight , CDD_BackLight, CID_X_Coordinates, CID_Y_Coordinates, CDD_X_Coordinates, CDD_Y_Coordinates, Light_Sensor_On, Light_Sensor_Off, Temp_1,Temp_2, Watchdog_reset, Hardware_reset, Power_reset, Clock_reset, DTC Stored
42,30/04/2025  12:08:48,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000365631,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,30,30,True,True,-1,-1,-1,-1,-1,
43,30/04/2025  12:09:53,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000368386,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,30,30,True,True,-1,-1,-1,-1,-1,
44,30/04/2025  12:10:58,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000365114,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,30,30,True,True,-1,-1,-1,-1,-1,
45,30/04/2025  12:12:03,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000364856,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,30,30,True,True,-1,-1,-1,-1,-1,
46,30/04/2025  12:13:08,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000368042,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,30,30,True,True,-1,-1,-1,-1,-1,
47,30/04/2025  12:14:12,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000361067,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,30,30,True,True,-1,-1,-1,-1,-1,
48,30/04/2025  12:15:17,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000366406,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,30,30,True,True,-1,-1,-1,-1,-1,
49,30/04/2025  12:16:22,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000367783,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,30,30,True,True,-1,-1,-1,-1,-1,
50,30/04/2025  12:17:27,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.000036787,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,30,30,True,True,-1,-1,-1,-1,-1,
51,30/04/2025  12:18:32,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000364425,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,30,30,True,True,-1,-1,-1,-1,-1,
52,30/04/2025  12:19:36,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000367525,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,30,30,True,True,-1,-1,-1,-1,-1,
53,30/04/2025  12:20:41,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.000036675,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,30,30,True,True,-1,-1,-1,-1,-1,
54,30/04/2025  12:21:46,Sleep Mode,999.9,999.9,5/Operating Max Mode,12.5,0.0000367697,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,30,30,True,True,-1,-1,-1,-1,-1,
55,30/04/2025  12:28:16,Wake Mode,999.9,999.9,5/Operating Max Mode,13.5,2.983803,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
56,30/04/2025  12:34:11,Wake Mode,999.9,999.9,3/Operating Max Mode,13.5,2.976489,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
57,30/04/2025  12:40:07,Wake Mode,999.9,999.9,3/Operating Max Mode,8,5.217196,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
58,30/04/2025  12:46:03,Wake Mode,999.9,999.9,6/Operating Min Mode,8,5.209285,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
59,30/04/2025  12:51:59,Wake Mode,999.9,999.9,6/Operating Min Mode,17,2.345194,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
60,30/04/2025  12:57:54,Wake Mode,999.9,999.9,1/Parking Off,17,2.344394,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
61,30/04/2025  12:59:22,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.058665,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
62,30/04/2025  13:00:28,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.280492,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
63,30/04/2025  13:01:33,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.281628,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
64,30/04/2025  13:02:39,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.280416,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
65,30/04/2025  13:03:45,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.281893,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
66,30/04/2025  13:04:51,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.28053,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
67,30/04/2025  13:05:57,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.281931,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
68,30/04/2025  13:07:03,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.107777,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
69,30/04/2025  13:08:09,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.280856,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
70,30/04/2025  13:09:13,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000349011,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
71,30/04/2025  13:10:18,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000354092,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
72,30/04/2025  13:11:22,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000350906,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
73,30/04/2025  13:12:26,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000351594,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
74,30/04/2025  13:13:31,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000360119,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
75,30/04/2025  13:14:36,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000357278,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
76,30/04/2025  13:15:40,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000353317,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
77,30/04/2025  13:16:45,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000356244,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
78,30/04/2025  13:17:49,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000359172,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
79,30/04/2025  13:18:53,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.00003528,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
80,30/04/2025  13:19:58,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000353403,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
81,30/04/2025  13:21:03,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000358139,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
82,30/04/2025  13:22:05,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000357019,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
83,30/04/2025  13:23:06,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000368989,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
84,30/04/2025  13:24:06,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000362789,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
85,30/04/2025  13:25:11,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000370539,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
86,30/04/2025  13:26:16,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000376136,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
87,30/04/2025  13:27:21,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000377256,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
88,30/04/2025  13:28:26,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000377428,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
89,30/04/2025  13:29:30,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000373381,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
90,30/04/2025  13:30:35,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000375964,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
91,30/04/2025  13:31:39,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000376222,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
92,30/04/2025  13:32:44,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000382078,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
93,30/04/2025  13:33:49,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000378375,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
94,30/04/2025  13:34:54,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000381561,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
95,30/04/2025  13:35:59,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000379236,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
96,30/04/2025  13:37:04,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000380872,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
97,30/04/2025  13:38:08,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000382767,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
98,30/04/2025  13:39:13,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000376222,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
99,30/04/2025  13:40:18,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000381647,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
100,30/04/2025  13:41:23,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000381045,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
101,30/04/2025  13:42:28,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000380528,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
102,30/04/2025  13:43:32,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000383284,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
103,30/04/2025  13:44:37,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000380614,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
104,30/04/2025  13:45:42,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000380184,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
105,30/04/2025  13:46:47,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000385006,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
106,30/04/2025  13:47:51,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000385695,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
107,30/04/2025  13:48:56,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000387417,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
108,30/04/2025  13:50:01,Sleep Mode,999.9,999.9,5/Operating Max Mode,12.5,0.0000386384,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,False,False,-1,-1,-1,-1,-1,
109,30/04/2025  13:56:33,Wake Mode,999.9,999.9,5/Operating Max Mode,13.5,2.922146,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,30,30,False,False,-1,-1,-1,-1,-1,
