Start Date:,30-04-2025_10.25.11
Bench number:,86
Computer name:,FRF23050189
Test equipment:,CM.33
Script name:,Endurance_Test
Script version:,0.0d
Script path:,*DAG_Displays:\Test_Group\SYS.5_System_Test\Env_Tests\BR_223\Climatic_Tests\Endurance_Test
Test operator name:,Daniel Lobato
Test Request: ,TR.EL24.06823
Test name: ,3_PTL - k-16
Part number: ,-1
VLIMS number: ,SS 2#17
Serial Number: ,
SW Version: ,-1
HW Version: ,-1
Criteria: ,
Current Value Wake Mode High Value Range - 13.5V: ,2.06[A]
Current Value Wake Mode Low Value Range - 13.5: ,0.98[A]
Current Value Wake Mode High Value Range - 17V: ,1.632[A]
Current Value Wake Mode Low Value Range - 17V: ,0.78[A]
Current Value Wake Mode High Value Range - 8V: ,3.58[A]
Current Value Wake Mode Low Value Range - 8V: ,1.69[A]
Current Value Sleep Mode: ,100[mA]

No:, Date & Time, DUT Mode, Probe of Humidity(%),Probe of Temperature(°C), Dry contact value, Reference Voltage(V),Current[A],Current[A] Status, CAN_status,CID_Display_Temp_Status, CDD_Display_Temp_Status,CID ON/OFF, CDD ON/OFF, CID_BackLight , CDD_BackLight, CID_X_Coordinates, CID_Y_Coordinates, CDD_X_Coordinates, CDD_Y_Coordinates, Light_Sensor_On, Light_Sensor_Off, Temp_1,Temp_2, Watchdog_reset, Hardware_reset, Power_reset, Clock_reset, DTC Stored
1,30/04/2025  11:00:10,Wake Mode,999.9,999.9,5/Operating Max Mode,13.5,2.635575,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
2,30/04/2025  11:06:06,Wake Mode,999.9,999.9,3/Operating Max Mode,13.5,2.634965,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
3,30/04/2025  11:12:02,Wake Mode,999.9,999.9,3/Operating Max Mode,8,4.512393,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,True,True,-1,-1,-1,-1,-1,
4,30/04/2025  11:17:57,Wake Mode,999.9,999.9,6/Operating Min Mode,8,4.512692,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
5,30/04/2025  11:23:53,Wake Mode,999.9,999.9,6/Operating Min Mode,17,2.087662,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
6,30/04/2025  11:29:48,Wake Mode,999.9,999.9,1/Parking Off,17,2.086389,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
7,30/04/2025  11:31:09,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000373553,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
8,30/04/2025  11:32:14,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000381303,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
9,30/04/2025  11:33:19,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000399817,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
10,30/04/2025  11:34:24,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000373295,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
11,30/04/2025  11:35:28,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.000040042,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
12,30/04/2025  11:36:33,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000394306,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
13,30/04/2025  11:37:38,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000391809,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
14,30/04/2025  11:38:43,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000393273,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
15,30/04/2025  11:39:43,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000375964,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
16,30/04/2025  11:40:48,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000370797,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
17,30/04/2025  11:41:52,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000390948,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
18,30/04/2025  11:42:57,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000392842,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
19,30/04/2025  11:44:02,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000385695,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
20,30/04/2025  11:45:07,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000357192,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
21,30/04/2025  11:46:11,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000387417,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
22,30/04/2025  11:47:16,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000357967,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
23,30/04/2025  11:48:21,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000380614,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
24,30/04/2025  11:49:26,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000387589,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
25,30/04/2025  11:50:31,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000376395,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
26,30/04/2025  11:51:35,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000386298,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
27,30/04/2025  11:52:40,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000354608,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
28,30/04/2025  11:53:45,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000380872,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
29,30/04/2025  11:54:50,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000381734,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
30,30/04/2025  11:55:55,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000379236,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
31,30/04/2025  11:57:00,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000363306,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
32,30/04/2025  11:58:05,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000384661,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
33,30/04/2025  11:59:09,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000382422,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
34,30/04/2025  12:00:14,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000374328,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
35,30/04/2025  12:01:19,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.000036675,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
36,30/04/2025  12:02:19,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000370883,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
37,30/04/2025  12:03:24,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000370195,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
38,30/04/2025  12:04:29,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000374414,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
39,30/04/2025  12:05:33,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.000037295,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
40,30/04/2025  12:06:38,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000370281,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
41,30/04/2025  12:07:43,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000373467,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
42,30/04/2025  12:08:48,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000366836,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
43,30/04/2025  12:09:53,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000372261,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
44,30/04/2025  12:10:58,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000358914,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
45,30/04/2025  12:12:03,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000355986,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
46,30/04/2025  12:13:08,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000359775,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
47,30/04/2025  12:14:13,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.000036985,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
48,30/04/2025  12:15:17,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000345997,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
49,30/04/2025  12:16:22,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.00003683,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
50,30/04/2025  12:17:27,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000368645,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
51,30/04/2025  12:18:32,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000367267,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
52,30/04/2025  12:19:36,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.000037097,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
53,30/04/2025  12:20:41,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000373811,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
54,30/04/2025  12:21:46,Sleep Mode,999.9,999.9,5/Operating Max Mode,12.5,0.0000348064,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,60,60,True,True,-1,-1,-1,-1,-1,
55,30/04/2025  12:28:16,Wake Mode,999.9,999.9,5/Operating Max Mode,13.5,2.718082,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,True,True,-1,-1,-1,-1,-1,
56,30/04/2025  12:34:11,Wake Mode,999.9,999.9,3/Operating Max Mode,13.5,2.711529,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,True,True,-1,-1,-1,-1,-1,
57,30/04/2025  12:40:07,Wake Mode,999.9,999.9,3/Operating Max Mode,8,4.61022,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,True,True,-1,-1,-1,-1,-1,
58,30/04/2025  12:46:03,Wake Mode,999.9,999.9,6/Operating Min Mode,8,4.607555,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,True,True,-1,-1,-1,-1,-1,
59,30/04/2025  12:51:59,Wake Mode,999.9,999.9,6/Operating Min Mode,17,2.137172,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,True,True,-1,-1,-1,-1,-1,
60,30/04/2025  12:57:54,Wake Mode,999.9,999.9,1/Parking Off,17,2.136741,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
61,30/04/2025  12:59:22,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000335319,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
62,30/04/2025  13:00:28,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.000033773,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
63,30/04/2025  13:01:34,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000334458,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
64,30/04/2025  13:02:39,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000344017,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
65,30/04/2025  13:03:45,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000332478,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
66,30/04/2025  13:04:51,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.000033463,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
67,30/04/2025  13:05:57,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000325589,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
68,30/04/2025  13:07:03,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000315944,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
69,30/04/2025  13:08:09,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000326019,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
70,30/04/2025  13:09:13,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000345567,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
71,30/04/2025  13:10:18,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000353144,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
72,30/04/2025  13:11:22,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000346858,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
73,30/04/2025  13:12:26,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000347461,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
74,30/04/2025  13:13:31,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000330411,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
75,30/04/2025  13:14:36,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.00003528,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
76,30/04/2025  13:15:40,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000361067,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
77,30/04/2025  13:16:45,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000351508,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
78,30/04/2025  13:17:49,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000364683,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
79,30/04/2025  13:18:53,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.00003652,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
80,30/04/2025  13:19:58,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000358397,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
81,30/04/2025  13:21:03,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000345653,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
82,30/04/2025  13:22:05,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000342294,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
83,30/04/2025  13:23:06,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000343672,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
84,30/04/2025  13:24:06,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000352542,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
85,30/04/2025  13:25:11,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000375361,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
86,30/04/2025  13:26:16,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.000038647,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
87,30/04/2025  13:27:21,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000378031,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
88,30/04/2025  13:28:26,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000380959,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
89,30/04/2025  13:29:30,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000377859,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
90,30/04/2025  13:30:35,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000381303,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
91,30/04/2025  13:31:39,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000373208,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
92,30/04/2025  13:32:44,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000393186,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
93,30/04/2025  13:33:49,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000367181,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
94,30/04/2025  13:34:54,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000386728,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
95,30/04/2025  13:35:59,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000390345,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
96,30/04/2025  13:37:04,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000381734,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
97,30/04/2025  13:38:08,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000356417,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,40,40,False,True,-1,-1,-1,-1,-1,
