Name of the script:,Incoming_Test(5_point_Meas)_Bench25
Start Date:,1/16/2024 4:40:09 PM
S/N :,109660702
Operator Name:,ErikNakov
DUT Var:,DN5
Description of this test:,IncommingTest_5-points
DUT Ref:,DUT1#2_DN7(7-inch)
No.,Date Time, Mode,Humidity, Temperature,Voltage_Ref,Time,Current (A) ,Time, Sence (V),Time,CANStatus,Time,DTC,Time,Reset counter,Cause,Time,Bouton_IN (CAFR or LKA),Bouton_OUT (STT),Dimming,
21,1/16/2024 17:18:03,Off Mode,14.8,-32.1,0.0,01/16/2024  17:16:57,0.000046,01/16/2024  17:16:57,0,01/16/2024  17:16:32,-1,01/16/2024  17:16:28,,01/16/2024  17:16:28,-2,No response,01/16/2024  17:16:43,Inactive,Active,0,
22,1/16/2024 17:19:46,Off Mode,15.8,-35.3,0.0,01/16/2024  17:18:39,0.000045,01/16/2024  17:18:39,0,01/16/2024  17:18:14,-1,01/16/2024  17:18:10,,01/16/2024  17:18:11,-2,No response,01/16/2024  17:18:25,Inactive,Active,0,
23,1/16/2024 17:21:29,Off Mode,17.7,-37.3,0.0,01/16/2024  17:20:22,0.000046,01/16/2024  17:20:22,0,01/16/2024  17:19:57,-1,01/16/2024  17:19:53,,01/16/2024  17:19:53,-2,No response,01/16/2024  17:20:08,Inactive,Active,0,
24,1/16/2024 17:23:12,Off Mode,19.6,-38.7,0.0,01/16/2024  17:22:05,0.000048,01/16/2024  17:22:05,0,01/16/2024  17:21:40,-1,01/16/2024  17:21:36,,01/16/2024  17:21:36,-2,No response,01/16/2024  17:21:51,Inactive,Active,0,
25,1/16/2024 17:24:55,Off Mode,21.6,-39.7,0.0,01/16/2024  17:23:48,0.000045,01/16/2024  17:23:48,0,01/16/2024  17:23:23,-1,01/16/2024  17:23:20,,01/16/2024  17:23:20,-2,No response,01/16/2024  17:23:34,Inactive,Active,0,
26,1/16/2024 17:26:39,Off Mode,23.8,-40.3,0.0,01/16/2024  17:25:31,0.000045,01/16/2024  17:25:31,0,01/16/2024  17:25:06,-1,01/16/2024  17:25:02,,01/16/2024  17:25:03,-2,No response,01/16/2024  17:25:17,Inactive,Active,0,
27,1/16/2024 17:28:22,Off Mode,26.1,-40.4,0.0,01/16/2024  17:27:15,0.000042,01/16/2024  17:27:15,0,01/16/2024  17:26:50,-1,01/16/2024  17:26:46,,01/16/2024  17:26:46,-2,No response,01/16/2024  17:27:01,Inactive,Active,0,
28,1/16/2024 17:30:05,Off Mode,28.4,-40.5,0.0,01/16/2024  17:28:58,0.000049,01/16/2024  17:28:58,0,01/16/2024  17:28:33,-1,01/16/2024  17:28:29,,01/16/2024  17:28:29,-2,No response,01/16/2024  17:28:44,Inactive,Active,0,
29,1/16/2024 17:31:48,Off Mode,30.7,-40.5,0.0,01/16/2024  17:30:41,0.000043,01/16/2024  17:30:41,0,01/16/2024  17:30:16,-1,01/16/2024  17:30:12,,01/16/2024  17:30:12,-2,No response,01/16/2024  17:30:27,Inactive,Active,0,
30,1/16/2024 17:33:31,Off Mode,32.6,-40.5,0.0,01/16/2024  17:32:24,0.000049,01/16/2024  17:32:24,0,01/16/2024  17:31:59,-1,01/16/2024  17:31:55,,01/16/2024  17:31:55,-2,No response,01/16/2024  17:32:10,Inactive,Active,0,
31,1/16/2024 17:35:15,Off Mode,34.4,-40.9,0.0,01/16/2024  17:34:08,0.00005,01/16/2024  17:34:08,0,01/16/2024  17:33:43,-1,01/16/2024  17:33:39,,01/16/2024  17:33:39,-2,No response,01/16/2024  17:33:54,Inactive,Active,0,
32,1/16/2024 17:36:58,Off Mode,36.2,-41.0,0.0,01/16/2024  17:35:51,0.000047,01/16/2024  17:35:51,0,01/16/2024  17:35:26,-1,01/16/2024  17:35:22,,01/16/2024  17:35:22,-2,No response,01/16/2024  17:35:37,Inactive,Active,0,
33,1/16/2024 17:38:40,Off Mode,38.1,-41.1,0.0,01/16/2024  17:37:34,0.000042,01/16/2024  17:37:34,0,01/16/2024  17:37:09,-1,01/16/2024  17:37:05,,01/16/2024  17:37:05,-2,No response,01/16/2024  17:37:20,Inactive,Active,0,
34,1/16/2024 17:40:23,Off Mode,39.8,-41.1,0.0,01/16/2024  17:39:16,0.000049,01/16/2024  17:39:16,0,01/16/2024  17:38:51,-1,01/16/2024  17:38:47,,01/16/2024  17:38:47,-2,No response,01/16/2024  17:39:02,Inactive,Active,0,
35,1/16/2024 17:42:06,Off Mode,41.4,-41.0,0.0,01/16/2024  17:40:59,0.000045,01/16/2024  17:40:59,0,01/16/2024  17:40:34,-1,01/16/2024  17:40:30,,01/16/2024  17:40:30,-2,No response,01/16/2024  17:40:45,Inactive,Active,0,
36,1/16/2024 17:43:48,Off Mode,42.6,-41.1,0.0,01/16/2024  17:42:41,0.000046,01/16/2024  17:42:41,0,01/16/2024  17:42:17,-1,01/16/2024  17:42:13,,01/16/2024  17:42:13,-2,No response,01/16/2024  17:42:28,Inactive,Active,0,
37,1/16/2024 17:45:30,Off Mode,43.8,-41.1,0.0,01/16/2024  17:44:23,0.000045,01/16/2024  17:44:23,0,01/16/2024  17:43:58,-1,01/16/2024  17:43:55,,01/16/2024  17:43:55,-2,No response,01/16/2024  17:44:09,Inactive,Active,0,
38,1/16/2024 17:47:14,Off Mode,44.8,-41.1,0.0,01/16/2024  17:46:06,0.000045,01/16/2024  17:46:06,0,01/16/2024  17:45:41,-1,01/16/2024  17:45:37,,01/16/2024  17:45:37,-2,No response,01/16/2024  17:45:52,Inactive,Active,0,
39,1/16/2024 17:48:57,Off Mode,45.7,-41.1,0.0,01/16/2024  17:47:49,0.000046,01/16/2024  17:47:49,0,01/16/2024  17:47:25,-1,01/16/2024  17:47:21,,01/16/2024  17:47:21,-2,No response,01/16/2024  17:47:36,Inactive,Active,0,
40,1/16/2024 17:50:40,Off Mode,46.6,-41.0,0.0,01/16/2024  17:49:32,0.000042,01/16/2024  17:49:32,0,01/16/2024  17:49:08,-1,01/16/2024  17:49:04,,01/16/2024  17:49:04,-2,No response,01/16/2024  17:49:19,Inactive,Active,0,
