Name of the script:,Incoming_Test(5_point_Meas)_Bench25,,,,,,,,,,,,,,,,,,,
Start Date:,1/16/2024 16:40,,,,,,,,,,,,,,,,,,,
S/N :,109660701,,,,,,,,,,,,,,,,,,,
Operator Name:,ErikNakov,,,,,,,,,,,,,,,,,,,
DUT Var:,DN5,,,,,,,,,,,,,,,,,,,
Description of this test:,IncommingTest_5-points,,,,,,,,,,,,,,,,,,,
DUT Ref:,DUT1#1_DN7(7-inch),,,,,,,,,,,,,,,,,,,
No.,Date Time, Mode,Humidity, Temperature,Voltage_Ref,Time,Current (A) ,Time, Sence (V),Time,CANStatus,Time,DTC,Time,Reset counter,Cause,Time,Bouton_IN (CAFR or LKA),Bouton_OUT (STT),Dimming
23,1/16/2024 17:21,Off Mode,17.7,-37.3,0,1/16/2024 17:20,0.000044,1/16/2024 17:20,0,1/16/2024 17:19,-1,1/16/2024 17:19,,1/16/2024 17:19,-2,No response,1/16/2024 17:20,Inactive,Active,0
24,1/16/2024 17:23,Off Mode,19.6,-38.7,0,1/16/2024 17:21,0.000047,1/16/2024 17:21,0,1/16/2024 17:21,-1,1/16/2024 17:21,,1/16/2024 17:21,-2,No response,1/16/2024 17:21,Inactive,Active,0
25,1/16/2024 17:24,Off Mode,21.6,-39.7,0,1/16/2024 17:23,0.000043,1/16/2024 17:23,0,1/16/2024 17:23,-1,1/16/2024 17:23,,1/16/2024 17:23,-2,No response,1/16/2024 17:23,Inactive,Active,0
26,1/16/2024 17:26,Off Mode,23.8,-40.3,0,1/16/2024 17:25,0.000047,1/16/2024 17:25,0,1/16/2024 17:25,-1,1/16/2024 17:25,,1/16/2024 17:25,-2,No response,1/16/2024 17:25,Inactive,Active,0
27,1/16/2024 17:28,Off Mode,26.1,-40.4,0,1/16/2024 17:27,0.000048,1/16/2024 17:27,0,1/16/2024 17:26,-1,1/16/2024 17:26,,1/16/2024 17:26,-2,No response,1/16/2024 17:27,Inactive,Active,0
28,1/16/2024 17:30,Off Mode,28.4,-40.5,0,1/16/2024 17:28,0.00005,1/16/2024 17:28,0,1/16/2024 17:28,-1,1/16/2024 17:28,,1/16/2024 17:28,-2,No response,1/16/2024 17:28,Inactive,Active,0
29,1/16/2024 17:31,Off Mode,30.7,-40.5,0,1/16/2024 17:30,0.00005,1/16/2024 17:30,0,1/16/2024 17:30,-1,1/16/2024 17:30,,1/16/2024 17:30,-2,No response,1/16/2024 17:30,Inactive,Active,0
30,1/16/2024 17:33,Off Mode,32.6,-40.5,0,1/16/2024 17:32,0.000052,1/16/2024 17:32,0,1/16/2024 17:31,-1,1/16/2024 17:31,,1/16/2024 17:31,-2,No response,1/16/2024 17:32,Inactive,Active,0
31,1/16/2024 17:35,Off Mode,34.4,-40.9,0,1/16/2024 17:34,0.000053,1/16/2024 17:34,0,1/16/2024 17:33,-1,1/16/2024 17:33,,1/16/2024 17:33,-2,No response,1/16/2024 17:33,Inactive,Active,0
32,1/16/2024 17:36,Off Mode,36.2,-41,0,1/16/2024 17:35,0.000042,1/16/2024 17:35,0,1/16/2024 17:35,-1,1/16/2024 17:35,,1/16/2024 17:35,-2,No response,1/16/2024 17:35,Inactive,Active,0
33,1/16/2024 17:38,Off Mode,38.1,-41.1,0,1/16/2024 17:37,0.000046,1/16/2024 17:37,0,1/16/2024 17:37,-1,1/16/2024 17:37,,1/16/2024 17:37,-2,No response,1/16/2024 17:37,Inactive,Active,0
34,1/16/2024 17:40,Off Mode,39.8,-41.1,0,1/16/2024 17:39,0.000049,1/16/2024 17:39,0,1/16/2024 17:38,-1,1/16/2024 17:38,,1/16/2024 17:38,-2,No response,1/16/2024 17:39,Inactive,Active,0
35,1/16/2024 17:42,Off Mode,41.4,-41,0,1/16/2024 17:40,0.000045,1/16/2024 17:40,0,1/16/2024 17:40,-1,1/16/2024 17:40,,1/16/2024 17:40,-2,No response,1/16/2024 17:40,Inactive,Active,0
36,1/16/2024 17:43,Off Mode,42.6,-41.1,0,1/16/2024 17:42,0.000045,1/16/2024 17:42,0,1/16/2024 17:42,-1,1/16/2024 17:42,,1/16/2024 17:42,-2,No response,1/16/2024 17:42,Inactive,Active,0
37,1/16/2024 17:45,Off Mode,43.8,-41.1,0,1/16/2024 17:44,0.000042,1/16/2024 17:44,0,1/16/2024 17:43,-1,1/16/2024 17:43,,1/16/2024 17:43,-2,No response,1/16/2024 17:44,Inactive,Active,0
38,1/16/2024 17:47,Off Mode,44.8,-41.1,0,1/16/2024 17:45,0.000045,1/16/2024 17:45,0,1/16/2024 17:45,-1,1/16/2024 17:45,,1/16/2024 17:45,-2,No response,1/16/2024 17:45,Inactive,Active,0
39,1/16/2024 17:48,Off Mode,45.7,-41.1,0,1/16/2024 17:47,0.000047,1/16/2024 17:47,0,1/16/2024 17:47,-1,1/16/2024 17:47,,1/16/2024 17:47,-2,No response,1/16/2024 17:47,Inactive,Active,0
40,1/16/2024 17:50,Off Mode,46.6,-41,0,1/16/2024 17:49,0.000046,1/16/2024 17:49,0,1/16/2024 17:49,-1,1/16/2024 17:49,,1/16/2024 17:49,-2,No response,1/16/2024 17:49,Inactive,Active,0
41,1/16/2024 17:52,Off Mode,47.3,-41,0,1/16/2024 17:51,0.000046,1/16/2024 17:51,0,1/16/2024 17:50,-1,1/16/2024 17:50,,1/16/2024 17:50,-2,No response,1/16/2024 17:51,Inactive,Active,0
42,1/16/2024 17:54,Off Mode,47.8,-41.1,0,1/16/2024 17:52,0.000045,1/16/2024 17:52,0,1/16/2024 17:52,-1,1/16/2024 17:52,,1/16/2024 17:52,-2,No response,1/16/2024 17:52,Inactive,Active,0
43,1/16/2024 17:55,Off Mode,48.3,-41,0,1/16/2024 17:54,0.000051,1/16/2024 17:54,0,1/16/2024 17:54,-1,1/16/2024 17:54,,1/16/2024 17:54,-2,No response,1/16/2024 17:54,Inactive,Active,0
44,1/16/2024 17:57,Off Mode,48.8,-41,0,1/16/2024 17:56,0.000046,1/16/2024 17:56,0,1/16/2024 17:55,-1,1/16/2024 17:55,,1/16/2024 17:55,-2,No response,1/16/2024 17:56,Inactive,Active,0
45,1/16/2024 17:59,Off Mode,49.2,-41,0,1/16/2024 17:58,0.000041,1/16/2024 17:58,0,1/16/2024 17:57,-1,1/16/2024 17:57,,1/16/2024 17:57,-2,No response,1/16/2024 17:57,Inactive,Active,0
46,1/16/2024 18:00,Off Mode,49.6,-41,0,1/16/2024 17:59,0.000052,1/16/2024 17:59,0,1/16/2024 17:59,-1,1/16/2024 17:59,,1/16/2024 17:59,-2,No response,1/16/2024 17:59,Inactive,Active,0
47,1/16/2024 18:02,Off Mode,49.9,-41,0,1/16/2024 18:01,0.00005,1/16/2024 18:01,0,1/16/2024 18:01,-1,1/16/2024 18:01,,1/16/2024 18:01,-2,No response,1/16/2024 18:01,Inactive,Active,0
48,1/16/2024 18:04,Off Mode,50.2,-41,0,1/16/2024 18:03,0.000049,1/16/2024 18:03,0,1/16/2024 18:02,-1,1/16/2024 18:02,,1/16/2024 18:02,-2,No response,1/16/2024 18:03,Inactive,Active,0
49,1/16/2024 18:06,Off Mode,50.4,-41,0,1/16/2024 18:04,0.000048,1/16/2024 18:04,0,1/16/2024 18:04,-1,1/16/2024 18:04,,1/16/2024 18:04,-2,No response,1/16/2024 18:04,Inactive,Active,0
50,1/16/2024 18:07,Off Mode,50.7,-41,0,1/16/2024 18:06,0.000044,1/16/2024 18:06,0,1/16/2024 18:06,-1,1/16/2024 18:06,,1/16/2024 18:06,-2,No response,1/16/2024 18:06,Inactive,Active,0
